Horodatage,Objet,Verdict,Rapport,Vérification Liens
2025-04-20 19:09:41,Join Us in Making a Difference with the Social Project,Suspect,"Il y a plusieurs signaux de susceptibilités de phishing dans ce message. D'abord, le contenu du message invite l'utilisateur à effectuer une donation en tapant une URL, gazapeople, qui répond à l'URL de l'adresse studio.buymeacoffee.com, mais ce domaine n'a pas de MX (serveur de messagerie), ce qui indique que ce n'est peut-être pas une adresse email valide. De plus, l'expression « Make a difference » est un mot clé commun dans les phishing, et l'appel à partager l'information ou participer aux événements suscite des questions. Enfin, le message v Tibih2 veut être officiel, mais aucun référence n'est faite à un compte LinkedIn, la signature manque la mention de LinkedIn et le numéro de téléphone fourni est inutilisable. Veillez donc à pas lâcher prise et à vérifier l'authenticité des sources avant de prendre des actions.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Domains By Proxy, LLC, Créé: [datetime.datetime(2015, 2, 6, 19, 10, 10), datetime.datetime(2015, 2, 6, 14, 10, 10)] | IP: 172.67.75.15"
2025-04-20 19:10:07,Soignez votre image sur les réseaux sociaux grâce aux templates,Sûr,"Ce message est classé comme sûr car le domaine utilisé est connu et appartient à Adobe (t-info.mail.adobe.com) et le contenu semble être une nouvelle nouvelleletter commerciale classique d'Adobe, faisant mention de sa société, de ses références légales, du lien de désinscription, des principaux éléments d'une newsletter commerciale, etc. Le message ne contient pas non plus de signaux de phishing ni d'informations particulières à endroiter.","Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.20 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.20 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.20 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.20"
2025-04-20 19:11:26,Join Us in Making a Difference with the Social Project,Suspect,"Le message présente plusieurs signaux de phishing, principalement en encouragement à un don via un lien douteux vers un site non vérifié studio.buymeacoffee.com. Bien qu'Adobe, Spotify et Google soient souvent des domaines fiables, le lien vers un autre site n'est pas garanti. En outre, il n'est pas normal qu'une entité comme LinkedIn demande à un utilisateur inconnu d'apporter des fonds via des moyens non tentés sur leur propre plateforme. Il est favorable d'avoir des doutes sur cette invitation.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Domains By Proxy, LLC, Créé: [datetime.datetime(2015, 2, 6, 19, 10, 10), datetime.datetime(2015, 2, 6, 14, 10, 10)] | IP: 172.67.75.15"
2025-04-20 19:12:03,Soignez votre image sur les réseaux sociaux grâce aux templates,Sûr,"Le message provient du domaine t-info.mail.adobe.com qui est un domaine connu. Le style d'écriture, de forme officielle, et les références à Adobe, Creative Cloud, Photoshop, Lightroom et l'adresse d'enregistrement d'Adobe Systems Software Ireland Limited démontrent qu'il s'agit d'un courrier officiel d'Adobe.","Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Indisponible, Créé: Indisponible | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: N/A, Créé: None | IP: 52.84.66.70"
2025-04-20 19:12:59,Join Us in Making a Difference with the Social Project,Suspect,L'adresse studio.buymeacoffee.com analyse de l'IP n'est pas associée à LinkedIn et le lien de donation ne semble pas officiel appartenir à l'entreprise LinkedIn. Craineux serait donc de transmettre des informations personnelles ou de suivre le lien de donation proposé. Il est conseillé de vérifier l'authenticité de cette demande en cherchant des informations supplémentaires sur le site officiel de LinkedIn ou en contactant le support client de l'entreprise.,"Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Domains By Proxy, LLC, Créé: [datetime.datetime(2015, 2, 6, 19, 10, 10), datetime.datetime(2015, 2, 6, 14, 10, 10)] | IP: 172.67.75.15"
2025-04-20 19:13:26,Soignez votre image sur les réseaux sociaux grâce aux templates,Sûr,"Le message provient d'un domaine connu (Adobe) et contient des éléments habituels à un courrier promotionnel, notamment une option de désinscription et des informations de contact. Toutefois, il vaut toujours de s'assurer que le lien de désinscription et les liens proposés font réellement référence à des pages d’Adobe, ce que je n'ai pas vérifié dans ce message.","Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: N/A, Créé: None | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70"
2025-04-20 19:14:10,Join Us in Making a Difference with the Social Project,Suspect,"Le message contient une demande de donation à un domaine (gazapeople) qui semble être lié au domaine studio.buymeacoffee.com par l'URL extra, ce qui est suspect car studio.buymeacoffee.com ne contient pas d'MX, ce qui pourrait indiquer que c'est une plate-forme de donation intermédiaire suspecte. De plus, la véracité de la proposition de LinkedIn est suspecte, car celui-ci est présenté comme l'organisation hésitante derrière la proposition.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Domains By Proxy, LLC, Créé: [datetime.datetime(2015, 2, 6, 19, 10, 10), datetime.datetime(2015, 2, 6, 14, 10, 10)] | IP: 172.67.75.15"
2025-04-20 19:14:51,Join Us in Making a Difference with the Social Project,Suspect,"Le message, bien qu'émanant d'un domaine connu (LinkedIn), contient certaines anomalies : - Un lien vers le domaine studio.buymeacoffee.com, qui n'a pas de MX (email reçu plutôt qu'en provenance d'un courrier électronique envoyé de LinkedIn), - Une ложная просьба à un individu non impliqué directement avec LinkedIn (Etudiant) d'effectuer des dons à l'UNICEF, qui est impliqué dans le contenu de la lettre. - La promesse de contribuer directement à UNICEF à partir de dons faites via le lien fourni est sujette à caution. Il est possible que les fonds collectés ne soient pas envoyés à l'organisation contributrice.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: N/A, Créé: None | IP: 104.26.2.199"
2025-04-20 19:15:14,Soignez votre image sur les réseaux sociaux grâce aux templates,Sûr,"Le message contient les domaines t-info.mail.adobe.com qui sont connus et considérés comme réputés dans le domaine du logiciel Adobe. Le ton du message est professionnel et le contenu correspond à un message de diffusion commerciale habituel. Il inclut une option de désinscription, une mention de la confidentialité de données et un lien vers la politique de confidentialité d'Adobe, ce qui renforce sa crédibilité.","Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36"
2025-04-20 19:18:06,Profitez de notre offre : 3 mois de Spotify Premium pour 0 MAD,Suspect,"Le message contient des liens à l'URL www.spotify.com qui ne fournissent aucune ressource MX, afin de lever des soupçons. Le message propose une offre de 3 mois de Spotify Premium pour 0 MAD, ce qui ne correspond pas aux tarifs habituels. Par ailleurs, le formulaire d'inscription à l'offre comporte des paramètres de trace A/B (`splot=P4-IjGkASeCWtdtCWaKnUA`) qui sont généralement ignorés par les services réels de Spotify.","Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: None | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: None | IP: 35.186.224.24 Domaine: itunes.apple.com MX: Non | WHOIS: Indisponible, Créé: Indisponible | IP: 2.19.220.25 Domaine: itunes.apple.com MX: Non | WHOIS: N/A, Créé: None | IP: 2.19.220.25 Domaine: play.google.com MX: alt4.gmr-smtp-in.l.google.com., alt3.gmr-smtp-in.l.google.com., alt1.gmr-smtp-in.l.google.com., alt2.gmr-smtp-in.l.google.com., gmr-smtp-in.l.google.com. | WHOIS: N/A, Créé: None | IP: 142.250.200.78 Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: None | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Indisponible, Créé: Indisponible | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: None | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: None | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: None | IP: 35.186.224.24"
2025-04-20 19:18:38,"Nouveau support de cours : ""TP6""",Sûr,"Analyse de courriel : le message contient simplement une notification de cours provenant de Google Classroom, qui dispose d'un excellent réputation. Il inclut deux liens, tous acheminant vers des propriétés valides de Google LLC (74.125.71.84). Le message contient sa source éducative, publishing date et l'auteur. Il ne semble pas être une menace, un message suspect ou un appel à de l'argent, ni demande d'informations personnelles. Les liens ne sont pas inattendus et le ton de l'écriture est formel et professionnel.","Domaine: accounts.google.com MX: alt1.gmr-smtp-in.l.google.com., alt2.gmr-smtp-in.l.google.com., alt4.gmr-smtp-in.l.google.com., alt3.gmr-smtp-in.l.google.com., gmr-smtp-in.l.google.com. | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 74.125.71.84 Domaine: accounts.google.com MX: alt1.gmr-smtp-in.l.google.com., alt2.gmr-smtp-in.l.google.com., alt4.gmr-smtp-in.l.google.com., alt3.gmr-smtp-in.l.google.com., gmr-smtp-in.l.google.com. | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 74.125.71.84 Domaine: accounts.google.com MX: alt1.gmr-smtp-in.l.google.com., alt2.gmr-smtp-in.l.google.com., alt4.gmr-smtp-in.l.google.com., alt3.gmr-smtp-in.l.google.com., gmr-smtp-in.l.google.com. | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 74.125.71.84 Domaine: accounts.google.com MX: alt1.gmr-smtp-in.l.google.com., alt2.gmr-smtp-in.l.google.com., alt4.gmr-smtp-in.l.google.com., alt3.gmr-smtp-in.l.google.com., gmr-smtp-in.l.google.com. | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 74.125.71.84"
2025-04-20 19:18:58,❤️‍🔥 Mehdi is counting on you! Protect your Friend Streak.,Sûr,"Le message provient d'un domaine connu (duolingo.com), ne contient aucun signal de phishing, de demande d'argent ou d'informations personnelles, et suit un style de courrier habituel de la plateforme d'apprentissage Duolingo. Les liens présents pointent vers la plateforme officielle du site web de Duolingo, avec un contenu qui résume une invitation à continuer à apprendre une langue en ligne. Le froid du samedi (Su) dans le calendrier est simplement un jeu de mot et n'offre aucune menace.","Domaine: www.duolingo.com MX: Non | WHOIS: Identity Protection Service, Créé: 2010-01-26 21:42:38 | IP: 54.152.203.65 Domaine: www.duolingo.com MX: Non | WHOIS: N/A, Créé: None | IP: 54.152.203.65"
2025-04-20 19:48:40,Join Us in Making a Difference with the Social Project,Suspect,"Le message comporte des éléments de suspicion : la demande d'une contribution à des fins caritatives est fréquemment utilisée en phishing pour recueillir des informations personnelles ou des données bancaires. L'utilisation du lien de donation studio.buymeacoffee.com pourrait présenter un risque, car le domaine n'a aucune ressource MX et dispose d'une IP enregistrée (104.26.2.199) qui n'est pas associée à LinkedIn. En outre, LinkedIn n'est pas habituellement associé à des campagnes de collecte de fonds pour des causes caritatives dans des régions spécifiques.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Indisponible, Créé: Indisponible | IP: 104.26.2.199"
2025-04-20 19:49:46,Join Us in Making a Difference with the Social Project,Suspect,"Le message présente des signaux suspicieux tels que la demande de donation des élèves à un projet sur LinkedIn, lequel n'est pas réputé faire de charité. La proposition de contourner l'organisation Unicef en utilisant un lien externes (gazapeople) est également inhabituelle et doit éveiller la vigilance. Enfin, le format trop informel du message est un autre signe de suspecter qu'il s'agisse d'une menace.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Domains By Proxy, LLC, Créé: [datetime.datetime(2015, 2, 6, 19, 10, 10), datetime.datetime(2015, 2, 6, 14, 10, 10)] | IP: 104.26.2.199"
2025-04-20 19:49:59,Soignez votre image sur les réseaux sociaux grâce aux templates,Sûr,"Le contenu du message, en dépit de l'apparence, provient d'Adobe Systems Software Ireland Limited, qui se révèle être un domaine réputé fiable. Le message contient plusieurs liens vers des domaines associés à Adobe, ce qui renforce sa crédibilité. Il ne contient pas de signaux de phishing ou d'action à effectuer, et il fournit des options de désinscription et de contact à Adobe. L'utilisateur doit cependant vérifier que le lien de dessinscription fonctionne correctement avant de le cliquer.","Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36"
2025-04-20 19:50:43,Profitez de notre offre : 3 mois de Spotify Premium pour 0 MAD,Menace,"Le message est suspect dû à l'offre conflictuelle de 3 mois de Spotify Premium pour 0 MAD sans demander de moyens de paiement sur le site officiel de Spotify, qui est inattendu et contredit les informations publiques sur les offres précédentes de la société. De plus, l'URL de la page d'offre a été modifiée en laissant l'identifiant `marketing-campaign-id`, ce qui suggère qu'il pourrait s'agir d'un phishing. Ne cliquez pas sur le lien en question et ne soutenez pas le porteur du message dans ses demandes.","Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: N/A, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: itunes.apple.com MX: Non | WHOIS: Apple Inc., Créé: 1987-02-19 05:00:00 | IP: 2.20.104.36 Domaine: itunes.apple.com MX: Non | WHOIS: Apple Inc., Créé: 1987-02-19 05:00:00 | IP: 2.20.104.36 Domaine: play.google.com MX: alt4.gmr-smtp-in.l.google.com., alt3.gmr-smtp-in.l.google.com., alt2.gmr-smtp-in.l.google.com., gmr-smtp-in.l.google.com., alt1.gmr-smtp-in.l.google.com. | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 142.250.200.110 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24 Domaine: www.spotify.com MX: Non | WHOIS: Spotify AB, Créé: 2006-04-23 09:07:50 | IP: 35.186.224.24"
2025-04-20 19:51:22,"Nouveau support de cours : ""TP6""",Sûr,"Ce message est envoyé par Google Classroom, un service connu de Google, et le contenu du message correspond à des notifications typiques de ce service. Il ne contient pas de liens douteux, de demande d'argent ou d'informations personnelles suspectes.","Domaine: accounts.google.com MX: Non | WHOIS: Indisponible, Créé: Indisponible | IP: 142.250.110.84 Domaine: accounts.google.com MX: Non | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 142.250.110.84 Domaine: accounts.google.com MX: Non | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 142.250.110.84 Domaine: accounts.google.com MX: Non | WHOIS: Google LLC, Créé: [datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)] | IP: 142.250.110.84"
2025-04-20 19:51:52,❤️‍🔥 Mehdi is counting on you! Protect your Friend Streak.,Sûr,"Le message est envoyé par le domaine connu Duolingo (<https://www.duolingo.com>). La communication est informative et vient d'un adresse e-mail connu (elbayazadnane&#x00000040;gmail.com). Il ne contient pas de liens suspects et aucune demande d'argent ou d'informations personnelles. En revanche, il y a une lacune WHOIS concernant les serveurs MX du domaine, ce qui est une anomalie légère. Néanmoins, ce message est clairement automated et sans danger apparent.","Domaine: www.duolingo.com MX: Non | WHOIS: N/A, Créé: 2010-01-26 21:42:38 | IP: 52.22.195.109 Domaine: www.duolingo.com MX: Non | WHOIS: Identity Protection Service, Créé: 2010-01-26 21:42:38 | IP: 52.22.195.109"
2025-04-20 19:52:47,Join Us in Making a Difference with the Social Project,Suspect,"Le message contient une offre de donation à l'aide de la page studio.buymeacoffee.com qui provient d'un serveur ayant un SkyTime sans MX, ce qui est rare pour un site commercial, probablement un site d'un intermédiaire de dons. L'offre de soutenir un projet de l'UNICEF est cohérente avec l'engagement en faveur de la promotion de la cause quand même, mais il n'y a aucune source de confiance connue qui vérifie cette proposition. La demande d'un support financier immédiat sans étape de vérification suscite des inquiétudes, y compris pour une œuvre de bienfaisance.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Domains By Proxy, LLC, Créé: [datetime.datetime(2015, 2, 6, 19, 10, 10), datetime.datetime(2015, 2, 6, 14, 10, 10)] | IP: 104.26.2.199"
2025-04-20 19:53:17,Soignez votre image sur les réseaux sociaux grâce aux templates,Sûr,"Les domaines t-info.mail.adobe.com et mail.adobe.com sont reconnus en tant que domaine d'Adobe, laquelle est considérée comme hautement fiable. Le message contient des factors qui indiquent son origine d'Adobe, notamment le logo, la mention de la société, la soumission de département irlandaise, et le lien de désinscription qui corresponde au formulaire officiel. Le style d'écriture est également conforme à la norme usuelle d'Adobe.","Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36"
2025-04-20 19:53:44,Join Us in Making a Difference with the Social Project,Suspect,"Le message est suspect car il contient une demande de donné un lien suspect payant (gazapeople <https://studio.buymeacoffee.com/extras>). LinkedIn est un domaine connu mais ce message ne provient pas de LinkedIn, il s'agit donc d'un faux (phishing) et l'on ne devrait pas cliquer sur le lien proposé.","Domaine: studio.buymeacoffee.com MX: Non | WHOIS: Domains By Proxy, LLC, Créé: [datetime.datetime(2015, 2, 6, 19, 10, 10), datetime.datetime(2015, 2, 6, 14, 10, 10)] | IP: 104.26.3.199"
2025-04-20 19:54:13,Soignez votre image sur les réseaux sociaux grâce aux templates,Sûr,"Le message est envoyé par Adobe Systems Software Ireland Limited, un domaine connu et fiable. Ce n'est pas un signal de phishing ou une demande d'argent, il s'agit simplement d'un e-mail commercial habituel de la marque. Le message est étiqueté clairement en tant que tel et offre des options de désinscription. Le format des liens respecte le schéma `https://t-info.mail.adobe.com/r/?...`communiqué.","Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.36 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70 Domaine: t-info.mail.adobe.com MX: Non | WHOIS: Adobe Inc., Créé: 1986-11-17 05:00:00 | IP: 52.84.66.70"
